"year","state","county_name","party","candidatevotes"
2024,"Alabama","County 0001","REPUBLICAN",37793
2024,"Alabama","County 0001","DEMOCRAT",24480
2024,"Alaska","County 0002","REPUBLICAN",12688
2024,"Alaska","County 0002","DEMOCRAT",28278
2024,"Arizona","County 0003","REPUBLICAN",3257
2024,"Arizona","County 0003","DEMOCRAT",623
2024,"Arkansas","County 0004","REPUBLICAN",461
2024,"Arkansas","County 0004","DEMOCRAT",141
2024,"California","County 0005","REPUBLICAN",7396
2024,"California","County 0005","DEMOCRAT",1585
2024,"Colorado","County 0006","REPUBLICAN",2828
2024,"Colorado","County 0006","DEMOCRAT",1525
2024,"Connecticut","County 0007","REPUBLICAN",4630
2024,"Connecticut","County 0007","DEMOCRAT",3119
2024,"Delaware","County 0008","REPUBLICAN",7808
2024,"Delaware","County 0008","DEMOCRAT",2366
2024,"Florida","County 0009","REPUBLICAN",17003
2024,"Florida","County 0009","DEMOCRAT",9532
2024,"Georgia","County 0010","REPUBLICAN",33345
2024,"Georgia","County 0010","DEMOCRAT",11319
2024,"Hawaii","County 0011","REPUBLICAN",23124
2024,"Hawaii","County 0011","DEMOCRAT",19104
2024,"Idaho","County 0012","REPUBLICAN",1478
2024,"Idaho","County 0012","DEMOCRAT",1838
2024,"Illinois","County 0013","REPUBLICAN",189190
2024,"Illinois","County 0013","DEMOCRAT",75514
2024,"Indiana","County 0014","REPUBLICAN",950
2024,"Indiana","County 0014","DEMOCRAT",783
2024,"Iowa","County 0015","REPUBLICAN",5126
2024,"Iowa","County 0015","DEMOCRAT",2812
2024,"Kansas","County 0016","REPUBLICAN",1374
2024,"Kansas","County 0016","DEMOCRAT",1238
2024,"Kentucky","County 0017","REPUBLICAN",9676
2024,"Kentucky","County 0017","DEMOCRAT",3408
2024,"Louisiana","County 0018","REPUBLICAN",4158
2024,"Louisiana","County 0018","DEMOCRAT",1171
2024,"Maine","County 0019","REPUBLICAN",3385
2024,"Maine","County 0019","DEMOCRAT",2158
2024,"Maryland","County 0020","REPUBLICAN",22741
2024,"Maryland","County 0020","DEMOCRAT",18837
2024,"Massachusetts","County 0021","REPUBLICAN",1318
2024,"Massachusetts","County 0021","DEMOCRAT",4335
2024,"Michigan","County 0022","REPUBLICAN",21179
2024,"Michigan","County 0022","DEMOCRAT",5431
2024,"Minnesota","County 0023","REPUBLICAN",3086
2024,"Minnesota","County 0023","DEMOCRAT",2331
2024,"Mississippi","County 0024","REPUBLICAN",81545
2024,"Mississippi","County 0024","DEMOCRAT",21446
2024,"Missouri","County 0025","REPUBLICAN",29574
2024,"Missouri","County 0025","DEMOCRAT",13976
2024,"Montana","County 0026","REPUBLICAN",17648
2024,"Montana","County 0026","DEMOCRAT",22640
2024,"Nebraska","County 0027","REPUBLICAN",3878
2024,"Nebraska","County 0027","DEMOCRAT",4420
2024,"Nevada","County 0028","REPUBLICAN",2979
2024,"Nevada","County 0028","DEMOCRAT",3984
2024,"New Hampshire","County 0029","REPUBLICAN",10805
2024,"New Hampshire","County 0029","DEMOCRAT",3548
2024,"New Jersey","County 0030","REPUBLICAN",3752
2024,"New Jersey","County 0030","DEMOCRAT",2088
2024,"New Mexico","County 0031","REPUBLICAN",472
2024,"New Mexico","County 0031","DEMOCRAT",529
2024,"New York","County 0032","REPUBLICAN",6827
2024,"New York","County 0032","DEMOCRAT",1189
